// digit 0
111101101101111,1000000000
// variations of digit 1
001001001001001,0100000000
001001001001000,0100000000
000001001001001,0100000000
// variations of digit 2
111001111100111,0010000000
011001111100111,0010000000
111001111100110,0010000000
// variations of digit 3
111001111001111,0001000000
111001011001111,0001000000
011001111001111,0001000000
111001111001011,0001000000
// variations of digit 4
101101111001001,0000100000
001101111001001,0000100000
100101111001001,0000100000
101101111001000,0000100000
// variations of digit 5
111100111001111,0000010000
110100111001111,0000010000
111100111001011,0000010000
// variations of digit 6
111100111101111,0000001000
110100111101111,0000001000
100100111101111,0000001000
// variations of digit 7
111001001001001,0000000100
111001001001000,0000000100
// digit 8
111101111101111,0000000010
// variations of digit 9
111101111001111,0000000001
111101111001011,0000000001
111101111001001,0000000001
